match_id,season,team1,team2,venue,city,toss_winner,toss_decision,team1_matches_played,team1_wins,team1_win_rate,team1_toss_win_rate,team2_matches_played,team2_wins,team2_win_rate,team2_toss_win_rate,h2h_matches_played,h2h_team1_win_rate,is_team1_toss_winner,team1_win
392207,2009,Kings XI Punjab,Kolkata Knight Riders,St George's Park,Port Elizabeth,Kolkata Knight Riders,bat,14,7,0.5,0.42857142857142855,13,3,0.23076923076923078,0.5384615384615384,27,0.3333333333333333,0,1
392208,2009,Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,Johannesburg,Mumbai Indians,bat,16,9,0.5625,0.5,13,5,0.38461538461538464,0.46153846153846156,32,0.40625,0,1
392209,2009,Chennai Super Kings,Deccan Chargers,Buffalo Park,East London,Chennai Super Kings,bat,14,8,0.5714285714285714,0.5,16,9,0.5625,0.625,10,0.6,1,1
392210,2009,Kings XI Punjab,Rajasthan Royals,Kingsmead,Durban,Kings XI Punjab,field,14,7,0.5,0.42857142857142855,13,5,0.38461538461538464,0.3076923076923077,21,0.38095238095238093,1,0
392211,2009,Delhi Daredevils,Kolkata Knight Riders,Kingsmead,Durban,Kolkata Knight Riders,bat,15,10,0.6666666666666666,0.6,13,3,0.23076923076923078,0.5384615384615384,21,0.38095238095238093,0,1
392212,2009,Deccan Chargers,Mumbai Indians,SuperSport Park,Centurion,Deccan Chargers,bat,16,9,0.5625,0.625,13,5,0.38461538461538464,0.46153846153846156,10,0.4,1,1
392213,2009,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,Centurion,Rajasthan Royals,field,16,9,0.5625,0.5,13,5,0.38461538461538464,0.3076923076923077,29,0.5172413793103449,0,0
392214,2009,Chennai Super Kings,Kings XI Punjab,SuperSport Park,Centurion,Chennai Super Kings,bat,14,8,0.5714285714285714,0.5,14,7,0.5,0.42857142857142855,23,0.6086956521739131,1,1
392215,2009,Delhi Daredevils,Mumbai Indians,Buffalo Park,East London,Mumbai Indians,bat,15,10,0.6666666666666666,0.6,13,5,0.38461538461538464,0.46153846153846156,22,0.5,0,1
392217,2009,Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,Kimberley,Rajasthan Royals,bat,14,8,0.5714285714285714,0.5,13,5,0.38461538461538464,0.3076923076923077,29,0.5517241379310345,0,1
